Name,Team,Pos,P Rk,Rookie,Rank,ADP,+/-,id
Christian McCaffrey,SF,RB,RB1,,1,1.2,0.2,3354e895-8aaa-4c24-ade4-d460f20a7a36
Tyreek Hill,MIA,WR,WR1,,2,3.4,1.4,023cc2b9-e246-408f-9e28-3dcc23874336
CeeDee Lamb,DAL,WR,WR2,,3,2.4,-0.6,f755e72a-eee7-4ef7-9616-a74ba99538f8
Justin Jefferson,MIN,WR,WR3,,4,3.8,-0.2,7f32ee21-248e-45e6-ac16-8353b3220822
Ja'Marr Chase,CIN,WR,WR4,,5,5.0,0.0,6b44c699-3ddc-44cb-90be-1f5a734464e8
Breece Hall,NYJ,RB,RB2,RB,6,6.1,0.1,59491863-9d3c-4081-8431-e0ee5116e910
Amon-Ra St. Brown,DET,WR,WR5,,7,6.8,-0.2,e3b1a79d-1701-46d6-a13e-a65363c3727d
Puka Nacua,LA,WR,WR6,,8,8.8,0.8,44790f8d-3346-440d-88a2-891739228933
Bijan Robinson,ATL,RB,RB3,,9,8.5,-0.5,2b7e60f4-f21c-4531-82f3-cf154fd1483e
Jahmyr Gibbs,DET,RB,RB4,,10,10.6,0.6,eb44550a-f497-4536-8df3-569ec5e74620
A.J. Brown,PHI,WR,WR7,,11,12.4,1.4,a6b9aba5-3c16-4096-82ee-916bb3d71a4d
Garrett Wilson,NYJ,WR,WR8,,12,12.1,0.1,fdbd05e0-1010-42a7-a112-0c119c6d790c
Kyren Williams,LA,RB,RB5,,13,12.0,-1.0,d2045dd5-b8ca-49df-841b-dda77f020f98
De'Von Achane,MIA,RB,RB6,,14,17.3,3.3,0fad0606-9288-4548-a42b-fb46f338c07d
Josh Allen,BUF,QB,QB1,,15,19.2,4.2,ecb34925-abf0-422a-8b94-670900e0161e
DJ Moore,CHI,WR,WR9,,16,16.7,0.7,793bb4c9-c5c3-4f7d-af1e-d54119f9e0b2
Rashee Rice,KC,WR,WR10,,17,20.8,3.8,77af1086-4a27-4dbc-9932-40ce6436b0cb
Marvin Harrison Jr.,FA,WR,WR11,Rookie,18,18.0,0.0,b8c53f9d-02ef-4505-b6fb-5b3839710e8d
Deebo Samuel,SF,WR,WR12,,19,20.9,1.9,c9f316cd-da47-4da1-90d0-7cc7e428fdc1
Brandon Aiyuk,SF,WR,WR13,,20,22.1,2.1,373627bc-9000-4e24-8f48-ae77c95361b6
Nico Collins,HOU,WR,WR14,,21,15.8,-5.2,ad2c4f6e-228d-4a99-a7dd-33d71552a2d8
Tank Dell,HOU,WR,WR15,,22,27.9,5.9,698b974b-7417-496b-a135-86809938dfa4
Stefon Diggs,BUF,WR,WR16,,23,24.8,1.8,6ddc37c5-14ea-4515-93cd-6691278369d0
Jonathan Taylor,IND,RB,RB7,,24,14.7,-9.3,15720fc8-f603-4cdc-bc60-a5016270547a
Chris Olave,NO,WR,WR17,,25,26.0,1.0,569982e1-3db4-40c9-8471-aece72fe2e65
Jalen Hurts,PHI,QB,QB2,,26,35.0,9.0,f9d5f7b1-89c4-4245-83bd-09651236ba49
Davante Adams,LV,WR,WR18,,27,24.9,-2.1,a88a11e3-6050-4fb0-9013-3858ab0b8f3e
Jaylen Waddle,MIA,WR,WR19,,28,37.3,9.3,468f85a9-75b8-4a36-9025-f5ab5b746c96
Mike Evans,TB,WR,WR20,,29,33.5,4.5,1e12a825-4277-4cf2-98f2-6f8e5045362b
Lamar Jackson,BAL,QB,QB3,,30,39.6,9.6,bcebc6c3-0985-49fd-9ac3-7d98b9d61350
Malik Nabers,FA,WR,WR21,Rookie,31,35.4,4.4,1d0c2913-f67a-4400-a950-6143db4d0bc3
James Cook,BUF,RB,RB8,,32,42.3,10.3,85741a3f-c97c-42a0-94fd-ca92d7eda09f
Keenan Allen,LAC,WR,WR22,,33,36.1,3.1,a8a9a318-c6d4-4cd9-8eb2-cb901e24f6ac
Saquon Barkley,NYG,RB,RB9,,34,23.2,-10.8,0c8a3ba1-abbe-4a36-9dc2-ef1a8d290a87
Cooper Kupp,LA,WR,WR23,,35,41.8,6.8,e5ebecd5-d2d2-45c2-8f86-764bd770f0a7
Sam LaPorta,DET,TE,TE1,,36,29.1,-6.9,3716b4ab-3fa9-4472-b68d-5d5ccd3ca5b2
DK Metcalf,SEA,WR,WR24,,37,32.6,-4.4,307ec23e-7eda-4745-84ad-e84b20501a3e
Michael Pittman Jr.,IND,WR,WR25,,38,27.8,-10.2,b0e35c8c-b27c-4b8b-93d3-22dcc20614b2
Travis Etienne Jr.,JAX,RB,RB10,,39,29.6,-9.4,a4a4e2ca-a9cd-4337-99f9-7a20564948ff
Amari Cooper,CLE,WR,WR26,,40,47.4,7.4,1b4d78a9-6982-4d72-af95-aeac6bebf01d
DeVonta Smith,PHI,WR,WR27,,41,35.4,-5.6,60390bd0-a16c-469d-a794-ed9c90c984b6
Drake London,ATL,WR,WR28,,42,43.0,1.0,9a70a362-bab2-4b50-9d0a-c60560c9e788
Patrick Mahomes,KC,QB,QB4,,43,46.4,3.4,35e6f7ea-65e5-4e89-b1a6-ceffa8feaf4e
Isiah Pacheco,KC,RB,RB11,,44,34.2,-9.8,0ee5d13f-ef23-427e-a5f0-809cf9f80fb7
