id,ADP,WEIGHTED AGGREGATE RANK,DELTA %,PLAYER,POSITION
86fd4ec8-5632-400f-bfe2-171790ea29de,1.2,1,20.00%,Justin Jefferson,WR
41068d95-edb3-4cb2-a630-1a24473afd33,2.2,2,10.00%,Ja'Marr Chase,WR
cb146f30-7eea-45e3-ab14-a9b602628d0e,3.3,3.5,-5.71%,Christian McCaffrey,RB
24123c41-b78f-4c09-8591-9bc90c3d94c1,4.4,5.5,-20.00%,Tyreek Hill,WR
abdf3bf5-7211-4264-afb4-19a700a63b36,5.2,4.2,23.81%,Cooper Kupp,WR
310b9d96-79c6-4ee3-8813-160d05e01c33,6,6.3,-4.76%,Travis Kelce,TE
ee7f1867-6260-481e-8ced-c0ac0b83a63a,7.3,7.2,1.39%,Bijan Robinson,RB
f5ed1ce0-b35d-4878-9f04-5d36ed0cc0df,8.2,10.6,-22.64%,Stefon Diggs,WR
cd98acdd-8fa1-452d-94c5-3da50f91c3a0,9,10.7,-15.89%,A.J. Brown,WR
770c2768-5f04-4763-8b52-554f73f3c7b9,10.8,10.3,4.85%,Davante Adams,WR
41ab5252-ee76-4f53-a45c-a10bc7515d77,11.6,12.5,-7.20%,Austin Ekeler,RB
27e2455c-94b6-43f4-af91-bfc7a784aff9,11.8,10.3,14.56%,CeeDee Lamb,WR
9d71685f-11f2-42f1-ab07-5eb2d34dc559,13.6,13.3,2.26%,Jonathan Taylor,RB
09bfd930-56b7-472c-b808-d2a6a0b21046,14.3,14.3,0.00%,Garrett Wilson,WR
8c95e9fb-b018-4edd-9a1a-9cae4d862134,14.8,14.5,2.07%,Amon-Ra St. Brown,WR
cfeffc5a-6ad3-441f-b789-c5cd643025e5,16.4,19.4,-15.46%,Saquon Barkley,RB
7fc90b48-5fcf-4065-9eac-3d0c91354211,17.6,14.7,19.73%,Jaylen Waddle,WR
921c86bb-5eac-45b6-83e7-c60ceb923f27,18.5,22.1,-16.29%,Patrick Mahomes,QB
5b5c93cb-b045-46fc-8746-429a04a55d04,19.8,19.1,3.66%,Jalen Hurts,QB
b51420b4-d688-4da5-b910-39c884e5ee65,19.9,21.4,-7.01%,Josh Allen,QB
9ad057fb-3bff-4f63-89c6-10bba0adbf64,21.6,28.5,-24.21%,Nick Chubb,RB
468b7862-5776-40c9-a5b4-cc49e89ecddb,21.8,19.4,12.37%,Chris Olave,WR
18ae3fac-50b0-4f59-a205-6cd146ae7da3,22.7,22.5,0.89%,Tony Pollard,RB
f68c1182-e480-412c-86c3-2e675a9c9f5e,24.1,24.6,-2.03%,DeVonta Smith,WR
